id,no
"03701","30"
"03702","34"
"03702","34"
"03703","25"
"03704","35"
"03704","35"
"03705","87"
"03706","70"
"03707","60"
"03708","54"
"03709","91"
"03710","66"
"03801","29"
"03802","28"
"03803","28"
"03804","22"
"03805","34"
"03806","36"
"03807","20"
"03808","10"
"03809","37"
"03810","24"
"03901","35"
"03902","50"
"03903","71"
"04001","16"
"04001","16"
"04002","44"
"04003","57"
"04004","34"
"04005","36"
"04006","49"
"04007","30"
"04008","56"
"04009","83"
"04010","57"
"04011","31"
"04012","61"
"04013","50"
"04014","78"
"04015","87"
"04016","45"
"04017","40"
"04018","23"
"04101","57"
"04102","67"
"04103","47"
"04104","17"
"04105","42"
"04106","51"
"04107","28"
"04108","10"
"04109","37"
"04110","54"
"04111","59"
"04112","89"
"04113","18"
"04114","23"
